GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: GestureTraining
InfoText: Gesture dataset that is to be used by the hub
NumDimensions: 14
TotalNumTrainingExamples: 21
NumberOfClasses: 2
ClassIDsAndCounters: 
1	10
2	11
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 221
TimeSeriesData: 
-0.0356445	-0.142578	0.997559	-0.177113	0.033163	0.722499	-1	-40	-81	-23	-6	-1	-1	0
-0.00195312	-0.172852	1.00635	-0.177468	0.0321844	0.721795	2	36	22	1	-2	-2	-1	-2
-0.00927734	-0.191895	1.00879	-0.176925	0.0315246	0.721204	-4	-35	-12	2	2	2	0	-1
-0.0195312	-0.177246	1.02734	-0.176518	0.0319384	0.721695	1	23	20	-6	-2	-2	-1	0
-0.0283203	-0.14502	0.98291	-0.177302	0.0323346	0.722715	-4	-2	-5	-5	-1	0	2	-2
-0.00683594	-0.16748	0.989746	-0.17845	0.0316836	0.722243	-2	-12	-10	1	0	0	-2	3
-0.00830078	-0.195312	1.01221	-0.178767	0.0307944	0.721277	3	15	10	-2	-1	-2	3	15
-0.0351562	-0.188477	1.01562	-0.178278	0.03071	0.72104	6	1	-8	10	3	1	-2	0
-0.0483398	-0.1875	1.00488	-0.177797	0.0309566	0.721397	0	14	25	-1	0	-1	-1	-1
-0.050293	-0.185547	1.0083	-0.178163	0.0314147	0.722029	3	3	-27	1	0	0	1	-1
-0.0483398	-0.181152	0.990234	-0.178694	0.0317223	0.721741	-1	2	21	-9	-1	-1	-2	3
-0.0400391	-0.192383	0.999512	-0.179086	0.0316813	0.721077	2	-8	6	2	0	0	0	0
-0.0336914	-0.189453	1.00488	-0.179086	0.0316813	0.721077	0	10	13	5	0	-3	-1	2
-0.0336914	-0.17627	0.997559	-0.179086	0.0316813	0.721077	-2	-10	-5	0	0	-1	-1	1
-0.027832	-0.177246	0.998535	-0.179912	0.0316095	0.721262	1	0	-8	3	0	0	-1	-7
-0.0224609	-0.180664	1.01221	-0.179955	0.0314958	0.721272	-4	-6	-14	-1	-1	0	-2	-3
-0.0258789	-0.179688	1.00879	-0.179708	0.031783	0.721096	-3	-6	12	7	-4	-4	-4	-5
-0.0356445	-0.172852	1.01172	-0.179592	0.0317399	0.721094	7	-2	19	-9	-2	-1	1	1
-0.034668	-0.179688	1.01221	-0.179549	0.0318536	0.721083	-6	-2	-17	-1	-1	-2	-1	-1
-0.0351562	-0.17627	1.01025	-0.179549	0.0318536	0.721083	-5	-12	23	1	-1	-1	-6	-17
-0.0380859	-0.186035	1.01123	-0.179549	0.0318536	0.721083	2	6	-15	0	2	1	2	-2
-0.0375977	-0.185059	1.00977	-0.179549	0.0318536	0.721083	-2	-18	-1	1	-2	-1	-5	-6
-0.0356445	-0.182617	1.00635	-0.179115	0.0319519	0.721057	1	-9	-2	2	0	1	-1	0
-0.0288086	-0.171875	1.00293	-0.179115	0.0319519	0.721057	0	-4	-4	-2	1	1	-1	1
-0.0302734	-0.188477	1.00439	-0.179115	0.0319519	0.721057	-4	-15	32	15	2	0	0	-1
-0.0385742	-0.181641	1.00781	-0.179115	0.0319519	0.721057	-6	-16	-67	-45	-10	-5	-4	-3
-0.0380859	-0.189941	1.00342	-0.179231	0.031995	0.721058	-1	-1	-10	11	0	-1	0	-1
-0.0317383	-0.179688	1.00293	-0.178756	0.0322179	0.721164	1	0	-11	-13	-1	1	0	0
-0.027832	-0.185059	1.00635	-0.178756	0.0322179	0.721164	0	2	11	8	-1	-1	0	0
-0.0327148	-0.180664	1.0127	-0.178756	0.0322179	0.721164	1	5	15	12	2	1	0	2
-0.0390625	-0.183105	1.0083	-0.179213	0.032414	0.721422	-2	-3	-3	-1	-1	-2	0	-2
