timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
35236293411,0,1,10,1,-2,-1,3,-1
35236293411,-1,1,1,-1,2,1,0,0
35236294229,2,-3,4,2,-2,-3,-2,-1
35236294229,-1,1,-12,0,-4,-1,-2,-2
35236298521,-1,-5,-7,-2,-5,-1,2,3
35236298521,0,1,10,0,0,-2,-1,-2
35236299961,-3,-4,-5,-4,1,-1,-1,0
35236299961,-3,2,5,-2,-1,0,3,0
35236304218,2,2,-6,4,0,1,-2,0
35236304218,0,-1,-2,0,-7,-1,-3,0
35236312814,-1,0,11,-4,2,3,1,-1
35236312814,1,-3,-12,-4,0,-3,0,-1
35236328031,-2,-2,-1,-3,5,-1,-2,-3
35236328031,-1,1,-1,0,-2,-2,1,0
35236334834,-3,0,3,0,-3,-2,0,-1
35236334834,3,-1,3,-1,-3,2,0,1
35236342825,0,2,4,-1,0,0,-1,-1
35236342825,-2,-3,-9,-4,2,-4,-2,-1
35236365663,2,3,-5,-1,0,1,-1,1
35236365663,-4,-5,-4,0,5,-1,-2,-2
35236367171,1,0,4,-2,-12,-2,0,-1
35236367171,0,3,3,0,3,0,1,-1
35236412349,-1,-1,-2,-4,-2,-2,3,1
35236412349,-1,-1,-2,0,-6,-4,-1,-2
35236413171,-1,-1,1,2,-2,0,-4,1
35236413171,0,0,8,0,-2,1,1,0
35236413956,-2,-3,-9,-1,1,0,-2,-1
35236413956,0,-1,2,-3,2,1,0,0
35236417261,-1,3,-1,0,-2,-5,-3,-2
35236417261,-3,-7,-6,0,-1,2,2,-1
35236424099,-1,0,5,1,-4,-1,-3,0
35236424099,-2,-4,-12,-3,-1,1,-4,-1
35236431603,1,5,0,-1,-2,-1,4,-1
35236431603,-6,-6,-6,0,2,-3,-2,-1
35236440468,0,-2,1,-1,2,1,0,-1
35236440468,0,-1,-10,1,-3,2,3,1
35236454682,-1,1,9,0,3,2,0,0
35236454682,0,0,-9,-2,1,-2,-1,-2
35236461615,-1,-4,-4,2,-2,-1,-1,-1
35236461615,0,3,14,2,0,-1,0,0
35236485355,-2,-6,-19,-4,-1,-5,0,-3
35236485355,2,5,0,-1,-8,1,-1,1
35236486891,-1,0,4,1,-5,2,-2,-1
35236486891,-1,4,6,0,8,1,-1,0
35236499626,-1,-4,-5,-4,-1,-2,-2,-2
35236499626,0,0,3,2,4,0,-1,0
35236506395,1,0,-1,-1,0,2,1,1
35236506395,-1,-2,0,-3,-6,-4,-6,-1
35236522996,-2,-3,4,2,-6,0,2,-1
35236522996,2,-1,-11,0,-1,0,-2,1
35236524394,-3,-2,-4,-1,4,0,1,-1
35236524394,-1,4,8,1,-2,-1,3,-4
35236545443,0,-1,0,-3,6,-1,-2,0
35236545443,1,2,-1,1,-1,1,0,-1
35236546920,1,1,3,0,2,1,-2,0
35236546920,-1,-2,-8,-2,-3,-1,1,-1
35236559839,-1,-5,-8,0,-1,2,-2,1
35236559839,-2,-1,14,-1,-3,-3,0,-2
35236566612,0,2,6,2,5,1,3,1
35236566612,-2,-1,3,-2,0,-1,-1,0
35236582966,-2,-5,-3,0,-4,0,0,0
35236582966,-1,1,3,1,4,-1,0,-1
35236584392,1,-1,-7,0,12,1,-1,0
35236584392,-4,-2,11,0,-13,-2,1,-1
35236605445,-2,1,3,0,4,-4,-2,-1
35236605445,0,2,-4,-7,-5,0,-1,-2
35236606864,1,5,1,0,-5,1,-2,0
35236606864,1,-2,-7,-1,7,-5,-5,0
35236619775,2,0,1,1,1,2,3,1
35236619775,-5,-3,-1,-1,-11,0,1,0
35236626615,0,-1,4,-1,1,-2,1,-2
