timestamp,x,y,z
89402073961,0,0.0625,0.9375
89402082121,1.5,-0.5,1.3125
89402103489,0.625,-1.625,1.375
89402127163,0.125,-1.0625,0.875
89402142127,-1.1875,0.125,0.6875
89402163703,2.125,0.125,0.8125
89402187109,2.5,0.75,0.625
89402226114,-1,0.1875,-0.4375
89402227731,-3.25,-0.5,-0.75
89402247878,0.125,-1.1875,1.125
89402264880,2.3125,-1.75,1.3125
89402283637,1.6875,-1.3125,0.25
89402307096,-0.5625,-0.625,-0.625
89402336507,0.4375,-0.5625,0.25
89402346801,-0.4375,-0.25,0.75
89402366633,-1.875,0.25,0.25
89402380938,-1.5625,0.0625,-0.375
89402404119,0,0.1875,0.0625
89402426435,0.6875,0.25,0.0625
89402440938,-1.3125,0.0625,0.6875
89402464090,0.4375,-0.5,0.25
89402486613,0.3125,-0.5625,0.1875
89402500826,0.1875,-0.5,0.3125
89402523973,-1.375,-0.625,0.1875
89402546450,-1.6875,-0.625,0.1875
89402560975,-0.4375,-0.9375,0.0625
89402584132,-0.3125,-0.5,0.125
89402606644,-0.1875,-0.3125,0.125
89402620982,-0.4375,-0.4375,0.125
89402644122,-0.8125,-0.25,0.0625
89402666714,-1.1875,-0.5,0.0625
89402689012,0.0625,-0.5625,0.0625
89402704064,-0.1875,0.0625,0.1875
89402726654,-0.75,-0.1875,0
89402741004,-0.6875,-0.3125,0
89402763441,0.3125,-0.25,0
89402786645,0.1875,-0.6875,0.375
89402800972,-1.9375,-0.6875,-0.0625
89402823343,-2.8125,-0.8125,-0.5
89402846724,-2.5625,-1.6875,-0.5
89402860939,-6.9375,-3.8125,0.75
89402883451,-17.4375,-4.75,0.0625
89402906646,-27.875,-4.4375,0
89402920982,-37,-2.8125,1.5625
89402943477,-32.875,-2.0625,-0.125
89402966598,-28,7.75,-6.3125
89402980924,-28.6875,16.125,-10.0625
89403003328,-32.0625,26.0625,-13.375
89403026522,-36.875,35,-23
89403042758,-55.0625,40.9375,-33.75
89403063478,-64.9375,47.25,-46.125
89403086622,-57.3125,49.6875,-54.3125
89403102342,-52.875,49.5,-61.25
89403123489,-51.3125,43.5,-67.375
89403147900,-51.6875,36.75,-74
89403162247,-51.5,28.3125,-78.8125
89403183286,-49.5625,22.875,-81.3125
89403206802,-39.25,15.3125,-84.0625
89403229107,-34.5625,10.5625,-82.9375
89403243374,-35.0625,7.5625,-79.1875
89403266488,-34.75,4.25,-75.875
89403282289,-37,1.25,-69.6875
89403311555,-44,-0.3125,-62.625
89403327340,-46.9375,0.5625,-51.8125
89403342237,-48.875,5.5,-44
89403366185,-42.625,5.1875,-38.6875
89403385825,-37.125,-2.8125,-35.75
89403402289,-34.5,-8.25,-36.375
89403423463,-24.125,-10.5625,-37.8125
89403445840,-9.1875,-8.875,-34.6875
89403462302,-1.625,-8.75,-26.75
89403483280,-11.125,-5.5,-16.875
89403505808,-22.25,-0.0625,-11.9375
89403522265,-22.8125,4.25,-12.5
89403543329,-11.875,3,-8.0625
89403565965,-0.8125,-1.3125,-4.125
89403582359,9.5,-0.6875,-9.5625
89403603357,-2.125,1,-11.5
89403625999,7.625,0.625,-3.25
89403642252,35.8125,1.5,0.6875
89403663524,44,8.5,0.5
89403685959,43.3125,21.75,2.5
89403702324,44.1875,27.8125,9.5
89403723349,61.5,23.5,27.875
89403745760,85.1875,16.1875,43.1875
89403762283,94.6875,7.5625,53.5
89403783328,79.0625,7.125,50.4375
89403805866,49.6875,9.9375,37.625
89403822282,48.1875,29.3125,32.3125
89403843531,30.1875,42.625,18.3125
89403866050,-12.375,49.5625,0.3125
89403882358,-37.125,57.5,-3.125
89403903606,-44.4375,65.375,-13.0625
89403926027,-40.8125,71.6875,-24.3125
89403942331,-45.25,71.9375,-28.6875
89403963525,-66.3125,68.4375,-36.25
89403986006,-71.1875,69.75,-31.6875
89404002339,-61.5625,67.375,-19.125
89404024851,-39.5625,58.0625,-15.75
89404045902,-25.375,45.1875,-12.5625
89404062352,-26.0625,35.25,-5.75
89404084821,-37.3125,26.875,-1.5625
89404106041,-44.9375,16.4375,0.125
89404122335,-38.6875,6.0625,4.75
89404144891,-25.625,-2.1875,8.5
89404166000,-18.75,-10.8125,5.875
89404182383,-21.25,-16.8125,4.5625
89404204808,-27.25,-20.25,7
89404226088,-21.375,-22.4375,4.125
89404242335,-15.1875,-29.375,4.9375
89404264854,-27.625,-27.6875,16.1875
89404285817,-27.4375,-23.0625,19.625
89404302271,-19.0625,-13.4375,21.5625
89404324835,-19.75,-6.25,24.6875
89404345999,-13.875,-7.25,24.4375
89404362265,-20.375,-11,20.75
89404384813,-25.375,-6.75,20.8125
89404406061,-18.6875,2.1875,9.25
89404422328,-22.9375,5,-10.4375
89404444812,-38.75,7.75,-11.1875
89404466036,-36.875,5.25,3.625
89404482272,-37.1875,12.25,-0.25
89404504195,-27.875,14.375,-25
89404526719,-19.25,9.4375,-22.375
89404541728,-23.4375,3.875,-10.4375
89404563986,-22.125,-1.75,-12.625
89404586754,-11.375,-6.375,-9.875
89404601564,0,-6.125,4.375
89404624077,-1.3125,-2.8125,3.8125
89404646738,-0.75,-0.5,4.3125
89404661716,-7.0625,-0.8125,9.625
89404684224,-0.125,-1.3125,10.625
89404706710,7.3125,-0.6875,7.1875
89404721581,31.375,5.0625,3.4375
89404744271,24.0625,10.8125,-2.5625
89404766671,-8.0625,20.125,-5.4375
89404781729,0.8125,13.625,11
89404804055,26.4375,11.0625,13
89404826759,36.125,22.25,-7.125
89404843736,41,28.9375,-15.25
89404864042,37.875,27.6875,-1.9375
89404886571,28.3125,27.3125,10.875
89404901699,34.1875,30.75,13.625
89404924177,35.6875,31.8125,17.125
89404946508,34.5,25.25,22.4375
89404961705,36.9375,14.375,30.875
89404984228,42.9375,8.0625,38.6875
89405006758,59.0625,-3.8125,45.4375
89405021788,73.5625,-18.75,46.6875
89405044220,72.6875,-29.8125,48
89405066675,67.6875,-34.0625,45
89405081622,74.5625,-30.625,39.3125
89405104211,75,-22.5625,30.875
89405126740,51.4375,-13,22.6875
89405143037,19.375,-1.9375,13.5
89405164225,-6.1875,2.1875,10.4375
89405188065,-19.5,9.875,9.625
89405203099,-19.0625,12.6875,11.5625
89405224273,-8.5625,8.9375,17.625
89405246720,-3.4375,9.75,19.875
89405263033,11.4375,5.1875,18.4375
89405284251,25.375,-3.1875,17
89405306613,23.9375,-13.625,10.1875
89405323061,15.8125,-28.0625,3.75
89405344243,4.5,-40.25,-0.4375
89405366556,-4.5625,-47.8125,-1.25
89405383041,-10.8125,-39.5625,-7.5
89405404170,-6.625,-19.6875,-12
89405426637,-1.125,5.125,-16.6875
89405449249,24.25,10.25,-13.6875
89405464288,22.8125,11.625,-5.6875
89405479951,8,5.875,0.875
89405503003,-6.375,-7.875,11.6875
89405524134,-10.5625,-16.375,9.25
89405539937,7,-17,5.0625
89405563033,11.75,-12.625,2.75
89405584201,5.6875,-10.0625,-2.5625
89405599922,-13.6875,-7.1875,-7.8125
89405623117,-19.0625,-7.4375,-9.125
89405651703,-25.5,-7.125,-13.0625
89405666731,-13.875,-4.1875,-13.6875
89405683058,2.5625,-0.4375,-6.8125
89405704286,5.6875,-0.6875,-2.625
89405719887,11.3125,1.0625,-0.125
89405743088,17.4375,4.125,11.0625
89405764268,16,10.25,13.625
89405779912,10.6875,14.9375,14.25
89405803069,-3.8125,11.125,16.5
89405824223,-11.5,13.375,9.875
89405839888,-1.375,20.125,9.625
89405863149,10.0625,21.875,17.4375
89405884154,19.5625,16.8125,17.8125
89405899927,16.4375,15.375,17.25
89405929195,-0.6875,19.1875,19.0625
89405944200,-4.5,19.5,16.5
89405959911,-3.75,14.0625,13.25
89405982409,-0.75,7.0625,15.0625
89406011769,-7.875,4.9375,14.625
89406019933,-12.75,8.6875,11.875
89406042383,-17.9375,15.125,7.875
89406064117,-28.4375,20.8125,3.9375
89406079866,-31.625,20.125,1.1875
89406102332,-27.8125,14.5625,7.8125
89406125551,-21.8125,9.8125,20.3125
89406139872,-20.25,4.5625,25.5
89406162301,-17.1875,-3.75,28.75
89406185537,-16.5,-8.3125,29.6875
89406199884,-13.875,-16.5,39.5625
89406222354,6.1875,-22,44.9375
89406245504,33.1875,-11.4375,36.4375
89406259835,9.3125,-9.75,35.625
89406282338,-17.5,5.25,28.0625
89406306124,-2.6875,9.3125,41.0625
89406326584,-9.3125,-1.9375,44.125
89406342373,-5.8125,-15.9375,34
89406365503,-9,-27.875,24.5
89406386557,-27.6875,-38.5,18.875
89406402332,-38.3125,-39.125,14.5625
89406425484,-35.0625,-28.1875,8.6875
89406446640,-24.6875,-33.1875,14.9375
89406462391,-15.5625,-41.5,32
89406485534,-28.0625,-50.8125,32.125
89406506614,-36.8125,-50,24.75
89406522365,-29.3125,-51.375,26.375
89406545513,-20.3125,-43.875,25.375
89406566642,-11.75,-41.25,25.5625
89406582393,-28.6875,-40.125,32.25
89406605533,-56.875,-38.3125,38
89406626606,-83.5625,-23.9375,25.1875
89406642400,-99.3125,-7.1875,10.375
89406665524,-106.938,5,-5.625
89406686582,-41.8125,-1.5625,-14.75
89406702420,25.4375,-3.125,-3.75
89406725597,23.1875,4.5,-0.0625
89406746620,-16.25,5.9375,-4.25
89406762417,-17.6875,3.4375,-4.8125
89406785537,5.25,3.625,-4.375
89406806580,14.5625,4.875,-5.5625
89406822383,14.4375,0.625,-7.5
89406844899,11.1875,-1.625,-4.5
89406866592,4.4375,-1.75,-2.3125
89406882479,-0.375,-1.5625,-5.1875
89406904910,3.8125,-1.6875,-7.125
89406926667,6,-2.4375,-3.0625
89406942478,5.5,-1.4375,-2
89406964884,11.5625,1.625,-4.6875
89406986608,9.0625,2.9375,-1.1875
89407002394,-9.3125,1.25,5.5
89407024892,-1.625,0.9375,4.6875
89407048030,12.9375,1.5,1.375
89407062355,11.8125,2.5,-2.0625
89407084849,0.625,1.875,0
89407108081,-4.0625,1.1875,0.625
89407122479,-0.6875,0.625,0.0625
89407144913,6.0625,-0.4375,-0.8125
89407168067,3.8125,-1.8125,0
89407182398,-4.625,-0.875,1.1875
89407204879,-2.25,0.5,2.3125
89407228030,3.6875,-0.8125,0.5625
89407242522,9.4375,-5,3.875
89407264899,6.3125,-6.6875,3.375
89407288055,-3.5625,-2.375,-5.0625
89407302385,-15.25,-4.8125,-4.75
89407324882,-10.6875,-11.625,3.125
89407348028,2.75,-7.875,3.5625
89407362369,5.5,-3.5625,-8.3125
89407384952,1.375,0.5625,-14.8125
89407408101,-4,0.3125,-14.0625
89407429120,-16.25,0.75,-14
89407444909,-10.625,-4.4375,-11.375
89407468170,-0.25,-9,-5.375
89407481192,11.375,-10.875,-2.4375
89407504186,21.8125,-10.5,-1.5
89407518621,21.625,-11.4375,2.375
89407541220,15.9375,-12.875,4.4375
89407564187,6.5625,-10.625,5.0625
89407578687,7.9375,-10.1875,4.875
