timestamp,x,y,z,w
336682070842,-0.145081,-0.0656128,0.159546,0.974243
336682094418,-0.144836,-0.0656128,0.159363,0.974304
336682123337,-0.145142,-0.0661011,0.159302,0.974243
336682131948,-0.145142,-0.0663452,0.159119,0.974243
336682153266,-0.145264,-0.0666504,0.158752,0.974243
336682183892,-0.145325,-0.0665283,0.158508,0.974304
336682231004,-0.145386,-0.0665283,0.158508,0.974304
336682231781,-0.145447,-0.0664673,0.158508,0.974304
336682238306,-0.145508,-0.0662842,0.158386,0.974304
336682252691,-0.145569,-0.0662842,0.158386,0.974304
336682274015,-0.145569,-0.0662231,0.158386,0.974304
336682288301,-0.145569,-0.0662842,0.158386,0.974304
336682341365,-0.145569,-0.0662842,0.158386,0.974304
336682342114,-0.145691,-0.0662842,0.158142,0.974304
336682355627,-0.145752,-0.0662842,0.158142,0.974304
336682372089,-0.145752,-0.0662842,0.158142,0.974304
336682394549,-0.145752,-0.0662842,0.158142,0.974304
336682409579,-0.145752,-0.0662842,0.158142,0.974304
336682432092,-0.145813,-0.0662842,0.158142,0.974304
336682461303,-0.145813,-0.0662842,0.158142,0.974304
336682475648,-0.145874,-0.0662231,0.158203,0.974304
336682492153,-0.145874,-0.0662231,0.158203,0.974304
336682514572,-0.145935,-0.0662842,0.158203,0.974304
336682535665,-0.145935,-0.0662842,0.158203,0.974304
336682552106,-0.145935,-0.0662842,0.158203,0.974304
336682574618,-0.145935,-0.0662842,0.158203,0.974304
336682588173,-0.145996,-0.0662842,0.158203,0.974304
336682611281,-0.145996,-0.0662231,0.158203,0.974304
336682633833,-0.145996,-0.0662842,0.158203,0.974304
336682648142,-0.146057,-0.0662231,0.158203,0.974304
336682679498,-0.146057,-0.0662231,0.158203,0.974243
336682693858,-0.146057,-0.0662842,0.158203,0.974243
336682708200,-0.146057,-0.0662842,0.158203,0.974243
336682731332,-0.146057,-0.0662842,0.158203,0.974243
336682753782,-0.146118,-0.0662842,0.158203,0.974243
336682768132,-0.146118,-0.0662842,0.158203,0.974243
336682791313,-0.146118,-0.0662842,0.158203,0.974243
336682813767,-0.146179,-0.0662842,0.158203,0.974243
336682828209,-0.146179,-0.0662842,0.158203,0.974243
336682851332,-0.14624,-0.0662842,0.158203,0.974243
336682873825,-0.14624,-0.0662842,0.158203,0.974243
336682888180,-0.14624,-0.0662842,0.158203,0.974243
336682911363,-0.14624,-0.0662842,0.158203,0.974243
336682933849,-0.14624,-0.0662842,0.158203,0.974243
336682948190,-0.146301,-0.0662842,0.158203,0.974243
336682971377,-0.146301,-0.0662842,0.158203,0.974243
336682993855,-0.146301,-0.0662842,0.158203,0.974243
336683008131,-0.146301,-0.0662842,0.158203,0.974243
336683031305,-0.146362,-0.0662842,0.158203,0.974243
336683053798,-0.146362,-0.0662842,0.158203,0.974243
336683068151,-0.146362,-0.0662842,0.158203,0.974243
336683091400,-0.146423,-0.0662842,0.158203,0.974182
336683113828,-0.146667,-0.0663452,0.157959,0.974182
336683128104,-0.147156,-0.0663452,0.157715,0.974182
336683151049,-0.147522,-0.0664673,0.157471,0.974182
336683173824,-0.148132,-0.0664673,0.157227,0.974121
336683188161,-0.148438,-0.0663452,0.157104,0.97406
336683211366,-0.148865,-0.0662842,0.15686,0.97406
336683233627,-0.149048,-0.0661011,0.156677,0.97406
336683248138,-0.149048,-0.06604,0.156677,0.97406
336683271257,-0.149048,-0.06604,0.156677,0.97406
336683293825,-0.149048,-0.065979,0.156677,0.97406
336683308069,-0.149048,-0.06604,0.156677,0.97406
336683330601,-0.149048,-0.06604,0.156677,0.97406
336683353572,-0.149048,-0.06604,0.156677,0.97406
336683368160,-0.149109,-0.06604,0.156677,0.97406
336683390646,-0.149109,-0.06604,0.156677,0.97406
336683413157,-0.14917,-0.06604,0.156677,0.97406
336683428133,-0.14917,-0.06604,0.156677,0.97406
336683450641,-0.14917,-0.06604,0.156677,0.97406
336683473183,-0.149231,-0.06604,0.156677,0.97406
336683488238,-0.149231,-0.06604,0.156677,0.97406
336683510716,-0.149231,-0.06604,0.156677,0.97406
336683533210,-0.149231,-0.0661011,0.156677,0.97406
336683548188,-0.149292,-0.0661011,0.156677,0.97406
336683570684,-0.149292,-0.06604,0.156677,0.97406
336683593208,-0.149292,-0.06604,0.156677,0.97406
336683608234,-0.149292,-0.06604,0.156677,0.97406
336683630637,-0.149353,-0.06604,0.156677,0.97406
336683653174,-0.149353,-0.06604,0.156677,0.97406
336683668199,-0.149353,-0.06604,0.156677,0.973999
336683690686,-0.149414,-0.06604,0.156677,0.973999
336683713220,-0.149414,-0.06604,0.156677,0.973999
336683729627,-0.149414,-0.06604,0.156677,0.973999
336683752173,-0.149414,-0.06604,0.156677,0.973999
336683773231,-0.149414,-0.06604,0.156677,0.973999
336683788210,-0.149475,-0.06604,0.156677,0.973999
336683810661,-0.149475,-0.06604,0.156677,0.973999
336683833203,-0.149475,-0.06604,0.156677,0.973999
336683848214,-0.149475,-0.06604,0.156677,0.973999
336683870686,-0.149536,-0.06604,0.156677,0.973999
336683893287,-0.149536,-0.06604,0.156677,0.973999
336683908172,-0.149536,-0.06604,0.156677,0.973999
336683938839,-0.149536,-0.06604,0.156677,0.973999
336683953188,-0.149597,-0.06604,0.156677,0.973999
336683968191,-0.149597,-0.065979,0.156677,0.973999
336683990751,-0.149597,-0.065979,0.156677,0.973999
