timestamp,roll,pitch,yaw
336682070842,-0.30956,-0.0816423,0.337379
336682094418,-0.309056,-0.0817817,0.33699
336682123337,-0.309842,-0.0826485,0.337061
336682131948,-0.309913,-0.0831792,0.336773
336682153266,-0.310233,-0.0838436,0.336146
336682183892,-0.310296,-0.0836649,0.335626
336682231004,-0.310421,-0.0836455,0.335634
336682231781,-0.310522,-0.0835067,0.335619
336682238306,-0.31056,-0.0831649,0.335309
336682252691,-0.310685,-0.0831455,0.335317
336682274015,-0.310661,-0.0830261,0.335295
336682288301,-0.310685,-0.0831455,0.335317
336682341365,-0.310685,-0.0831455,0.335317
336682342114,-0.310903,-0.0831781,0.334831
336682355627,-0.311028,-0.0831587,0.334838
336682372089,-0.311028,-0.0831587,0.334838
336682394549,-0.311028,-0.0831587,0.334838
336682409579,-0.311028,-0.0831587,0.334838
336682432092,-0.311152,-0.0831393,0.334846
336682461303,-0.311152,-0.0831393,0.334846
336682475648,-0.311261,-0.0829827,0.334957
336682492153,-0.311261,-0.0829827,0.334957
336682514572,-0.311409,-0.0830827,0.334987
336682535665,-0.311409,-0.0830827,0.334987
336682552106,-0.311409,-0.0830827,0.334987
336682574618,-0.311409,-0.0830827,0.334987
336682588173,-0.311533,-0.0830633,0.334994
336682611281,-0.31151,-0.082944,0.334972
336682633833,-0.311533,-0.0830633,0.334994
336682648142,-0.311635,-0.0829246,0.33498
336682679498,-0.311618,-0.0829165,0.334961
336682693858,-0.311641,-0.0830358,0.334984
336682708200,-0.311641,-0.0830358,0.334984
336682731332,-0.311641,-0.0830358,0.334984
336682753782,-0.311766,-0.0830164,0.334991
336682768132,-0.311766,-0.0830164,0.334991
336682791313,-0.311766,-0.0830164,0.334991
336682813767,-0.31189,-0.0829971,0.334999
336682828209,-0.31189,-0.0829971,0.334999
336682851332,-0.312015,-0.0829777,0.335007
336682873825,-0.312015,-0.0829777,0.335007
336682888180,-0.312015,-0.0829777,0.335007
336682911363,-0.312015,-0.0829777,0.335007
336682933849,-0.312015,-0.0829777,0.335007
336682948190,-0.312139,-0.0829583,0.335014
336682971377,-0.312139,-0.0829583,0.335014
336682993855,-0.312139,-0.0829583,0.335014
336683008131,-0.312139,-0.0829583,0.335014
336683031305,-0.312264,-0.0829389,0.335022
336683053798,-0.312264,-0.0829389,0.335022
336683068151,-0.312264,-0.0829389,0.335022
336683091400,-0.312371,-0.0829114,0.335011
336683113828,-0.312862,-0.0830251,0.334563
336683128104,-0.313828,-0.0829424,0.334122
336683151049,-0.314592,-0.0831374,0.333712
336683173824,-0.31579,-0.083009,0.333269
336683188161,-0.316335,-0.0827023,0.332994
336683211366,-0.317153,-0.0825212,0.332523
336683233627,-0.317435,-0.0821604,0.332103
336683248138,-0.317411,-0.0820411,0.33208
336683271257,-0.317411,-0.0820411,0.33208
336683293825,-0.317388,-0.0819218,0.332058
