timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
336682232574,0,7,-2,-6,1,0,1,0
336682232574,-2,-5,0,4,6,0,-2,-1
336682233446,-1,1,-1,-2,-3,-2,-4,-1
336682233446,-1,-1,-4,-3,-2,-2,-2,0
336682237522,0,-1,1,-1,-5,-2,0,-1
336682237522,-1,6,6,3,-1,0,0,-1
336682239990,0,-2,-17,-3,-2,-1,-2,0
336682239990,-3,-8,4,-1,0,0,-2,-3
336682243210,1,-5,-6,-3,-2,-2,-1,-1
336682243210,3,28,6,2,0,0,2,-2
336682254782,-3,0,-1,-1,1,-1,1,-1
336682254782,2,3,11,0,-2,2,0,1
336682258248,-2,-12,-5,-2,2,3,-1,-2
336682258248,2,-11,-5,-1,-5,-2,0,2
336682274768,-1,3,9,2,1,-2,0,-3
336682274768,-3,0,-16,-3,0,2,0,-1
336682281964,-2,1,4,1,-1,-2,-2,-1
336682281964,-2,-5,-7,2,-2,-1,-4,0
336682296937,-2,-2,11,-6,-1,-1,0,-2
336682296937,1,-2,1,2,0,0,1,0
336682303380,1,0,-6,-1,1,0,0,-2
336682303380,-3,-8,-3,-6,-5,-2,-2,-3
336682350769,-4,-13,-4,-5,-3,0,0,1
336682350769,2,14,7,0,-1,-2,-2,0
336682351554,-5,-2,-2,0,-1,-1,-2,-2
336682351554,-3,-4,-3,0,-2,-1,-2,-2
336682352334,-1,-8,-13,1,1,1,2,0
336682352334,1,-8,11,2,3,4,0,-1
336682353070,0,15,-6,-7,-4,-2,1,0
336682353070,2,0,2,4,2,-2,0,0
336682363072,-1,3,3,-2,1,-2,-1,-1
336682363072,-4,-11,-12,-3,-3,-2,2,0
336682371335,-1,-8,5,0,2,3,0,-4
336682371335,-5,-27,-4,-2,0,1,0,-1
336682378170,3,21,8,3,-3,0,-3,-1
336682378170,-2,10,-28,-16,-5,-3,-3,-1
336682393780,0,-7,10,10,0,-2,-6,-1
336682393780,-1,12,0,-12,-1,-4,-2,0
336682400577,0,-2,3,4,2,-2,-2,-1
336682400577,-2,-12,2,9,0,1,-4,-1
336682408835,-1,-5,-6,-6,6,1,2,-2
336682408835,0,13,3,3,-1,-1,1,0
336682423021,-5,-11,0,-5,-4,0,-1,0
336682423021,-2,-6,3,-2,-1,-3,-3,-2
336682431269,1,15,5,1,-1,0,-2,0
336682431269,1,7,0,5,4,0,1,0
336682438082,-3,-10,-5,-8,-7,-2,0,1
336682438082,0,-4,10,8,5,4,3,3
336682453544,-6,4,-8,-7,2,-2,-1,-2
336682453544,4,-4,0,-2,-6,-1,1,-3
336682462048,2,2,-1,-1,0,-1,1,-1
336682462048,-2,6,5,1,-3,-2,0,0
336682468079,1,4,-1,3,2,3,0,1
336682468079,1,-1,-3,-2,-4,-1,0,1
336682483091,0,2,0,-1,4,0,-2,-3
336682483091,-2,3,4,3,3,-4,1,0
336682491364,0,-10,2,-2,-2,-2,0,0
336682491364,-4,-2,-6,2,-1,-1,-1,-1
336682505580,2,8,4,3,7,4,1,1
