timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89402838473,-8,-21,-10,-9,0,-2,1,0
89402838473,-3,2,11,5,0,0,0,1
89402847300,0,6,9,2,-6,-3,2,-2
89402847300,-2,-9,-27,-28,-9,-4,0,0
89402853265,-2,-12,-1,3,1,-4,0,1
89402853265,-4,-12,-9,-12,0,-3,-2,-1
89402868433,4,17,70,31,3,5,-1,1
89402868433,-9,-14,-20,-16,-1,-6,-4,-5
89402875927,4,-2,-23,5,0,0,1,-1
89402875927,1,-6,13,-5,0,1,-1,1
89402890815,0,5,-36,-9,4,3,2,1
89402890815,2,4,37,19,2,2,1,0
89402898325,-5,-16,-16,-8,-4,-8,-5,-3
89402898325,2,7,3,11,-4,-1,0,1
89402907295,-7,-35,-29,-18,2,-8,3,-2
89402907295,-1,11,13,11,2,5,-2,-1
89402913300,4,9,6,-4,9,5,1,1
89402913300,1,11,22,6,2,6,-2,3
89402928411,3,6,9,6,0,0,0,0
89402928411,-3,-13,-24,-13,-1,-6,0,-6
89402935830,5,23,34,19,4,9,0,0
89402935830,0,13,3,6,9,2,-3,4
89402950921,-4,-3,-1,-2,1,2,-2,-2
89402950921,2,6,-8,5,-5,-4,0,-2
89402958381,4,22,66,32,1,14,-2,6
89402958381,-3,-15,8,-11,-3,-3,-1,-2
89402967240,-1,-7,-31,-5,-1,0,0,-1
89402967240,2,12,16,15,11,6,1,1
89402973296,1,-7,5,-11,-8,-8,-3,1
89402973296,0,-4,-19,4,1,-1,0,0
89402988506,-1,15,42,8,5,7,0,2
89402988506,-2,-8,15,-6,-13,-8,-3,-5
89402995979,-2,-5,-2,-1,2,1,0,1
89402995979,0,-2,-15,-5,10,-1,1,0
89403010731,3,1,-16,26,-7,-4,-1,0
89403010731,-1,-28,-62,-24,6,0,-1,-4
89403018226,2,11,24,6,7,6,2,2
89403018226,4,11,15,21,7,12,0,3
89403027215,-1,-13,-27,-22,-7,-8,-1,-2
89403027215,2,11,23,21,7,2,0,3
89403042005,-1,-9,-13,-8,-2,-8,-1,-4
89403042005,-7,-31,-35,-14,-7,-4,-3,-5
89403048279,8,14,28,12,15,13,2,2
89403048279,8,23,31,17,-5,4,-1,5
89403055740,-4,-1,-2,9,1,-8,-1,-3
89403055740,2,12,11,-1,-7,-2,0,0
89403070900,-5,9,4,9,-5,-7,-2,0
89403070900,-1,-5,23,-2,12,3,1,0
89403078398,-1,9,44,27,9,13,-1,1
89403078398,-1,11,-17,-11,-13,-5,-4,-3
89403087281,-4,1,54,16,12,8,-2,2
89403087281,-5,2,-36,-52,-15,-5,-3,0
89403101603,-2,7,4,0,1,0,-3,-1
89403101603,-1,-2,-33,-15,-4,-10,2,-3
89403108302,2,2,11,3,-2,5,-3,0
89403108302,2,16,25,14,7,9,1,4
89403115886,2,-6,-28,11,1,-1,3,-2
89403115886,-5,-12,11,-5,1,1,-3,-1
89403130899,5,11,28,24,19,6,2,1
89403130899,-4,-15,-1,22,-19,-4,-3,-1
89403147286,2,4,-6,-26,5,1,0,1
89403147286,-4,-20,-59,-7,-21,-22,-3,-5
89403148761,2,5,-21,-1,5,5,1,0
89403148761,-1,-17,-10,-3,1,-4,-2,0
89403161457,-3,-13,-19,-16,-9,-5,-2,-1
89403161457,3,13,15,15,6,7,4,3
89403168249,-8,-25,-55,-28,-16,-10,-2,-4
89403168249,-3,-15,-6,6,0,-3,-1,-2
89403175898,-8,-26,-52,-36,-7,-9,0,-2
89403175898,0,1,39,14,11,6,-1,0
89403190930,3,2,13,9,0,2,1,1
89403190930,-10,-15,-91,-58,-13,-10,-4,-6
89403198399,5,40,50,36,8,7,2,2
89403198399,-10,-11,-25,-25,-20,-12,-5,-5
89403207276,4,2,17,8,8,5,5,0
89403207276,-1,5,25,15,4,0,-4,-2
89403221395,-3,-2,31,-1,-3,-4,-4,-1
89403221395,0,9,4,4,5,10,0,3
89403229803,1,11,30,1,-1,2,-3,-1
89403229803,1,9,-13,-8,-7,1,-2,-1
89403235831,-5,-26,-49,-25,-13,-12,-1,-2
89403235831,3,4,12,8,22,4,3,1
89403250755,-3,5,16,12,-7,1,-4,2
89403250755,5,6,9,3,15,10,1,3
89403258228,-3,-2,-4,0,-8,0,0,0
89403258228,1,4,25,3,-5,-2,-1,0
89403267257,-4,-14,-32,-14,-2,-6,0,-4
89403267257,-6,-14,7,0,-5,-8,2,-5
89403281563,6,8,80,37,19,17,0,5
89403281563,0,-2,16,5,-11,-3,-4,0
89403288274,-1,4,-4,-15,-1,-5,1,-2
89403288274,-2,7,24,16,-1,-5,1,0
89403295776,1,-2,-6,-6,1,-1,-2,-4
89403295776,1,0,-12,-4,2,5,2,-1
89403312300,-5,-13,-15,-12,-6,-8,-1,-5
89403312300,5,4,29,26,15,9,1,4
89403326630,1,6,-20,-1,-18,-11,1,1
89403326630,-3,-7,-46,-10,-2,-2,-4,-2
89403333410,4,7,-4,-2,-1,0,0,2
89403333410,0,0,-2,2,-14,-9,-2,-6
89403341606,0,4,-22,-26,-7,-2,0,-3
89403341606,6,3,5,-11,-5,-3,1,0
89403364708,-2,-7,5,-12,-16,-10,-1,-3
89403364708,0,-8,-49,-32,1,-4,-1,-2
89403365349,-1,-3,0,6,3,1,0,-3
89403365349,4,9,51,17,18,12,1,5
89403378939,-6,-19,-64,-42,-31,-21,-3,-2
89403378939,3,9,40,17,11,11,4,1
89403379684,-1,1,1,3,-1,-1,0,-4
89403379684,1,-7,-8,1,-1,1,-1,0
89403393275,-1,-2,14,11,6,5,0,-1
89403393275,2,2,23,6,3,4,-2,1
89403401634,2,4,10,7,-3,0,-2,1
89403401634,-8,-14,-57,-26,-11,-10,0,-5
89403416721,2,9,2,6,5,3,0,-1
89403416721,1,11,14,2,1,2,0,2
89403417211,-1,1,-3,12,5,2,0,-1
89403417211,-2,-12,-13,-7,-7,-4,-2,0
89403430836,3,1,-1,5,6,1,0,1
89403430836,-3,-3,-16,-18,-16,-13,-1,-7
89403438436,0,-11,-15,-5,4,-4,-3,1
89403438436,0,18,34,18,12,8,4,4
89403453268,3,-1,-43,5,-8,1,-3,3
89403453268,2,2,28,17,2,-1,-2,3
89403461632,-1,8,2,-1,-2,1,1,0
89403461632,4,14,25,16,3,2,-1,2
89403476472,-3,-5,-13,-23,-5,-2,0,0
89403476472,1,-6,-9,-2,0,2,0,3
89403477207,-2,-9,-8,-4,-2,-2,1,0
89403477207,-2,-11,12,9,7,-1,1,-2
89403490710,-4,7,43,7,6,4,-2,-1
89403490710,1,-8,-28,4,-1,-3,1,-1
89403498186,1,0,-4,-11,-16,-3,-5,-3
89403498186,-3,-3,-1,-7,4,-1,0,-3
89403513398,0,1,13,11,3,0,2,-2
89403513398,-1,-2,9,8,4,7,2,2
89403521458,-5,23,-17,-15,-6,-8,-2,0
89403521458,2,-26,-10,3,-4,-1,-3,-8
89403536437,4,-29,5,-2,2,6,-3,2
89403536437,-1,7,4,15,3,1,-1,4
89403537220,-30,-85,-32,-31,-3,-12,-5,-23
89403537220,8,17,9,4,-4,5,-3,-4
89403550740,-5,-36,-1,2,3,-1,3,9
89403550740,-6,-40,-12,-5,-2,0,-1,-1
89403558263,2,-13,-15,1,1,-1,3,7
89403558263,1,21,8,6,3,0,0,1
89403573425,-5,4,-2,-8,-4,-3,-1,-4
89403573425,12,40,25,11,11,7,10,1
89403581769,-6,-18,2,-14,-15,-17,-18,-16
89403581769,-14,24,20,5,-2,4,9,2
89403596444,5,40,-1,3,-8,-6,-7,-1
89403596444,-2,17,-8,-9,-8,-6,-8,0
89403597244,15,35,27,21,12,14,6,6
89403597244,0,-26,-22,-7,-1,-7,-3,1
89403610905,1,14,14,9,4,3,0,1
89403610905,-6,-4,0,-8,-3,-4,2,-7
89403618294,3,-2,-28,-5,-3,-1,-2,11
89403618294,0,-13,3,-1,-2,-2,-8,-2
89403633448,-9,-6,-8,1,6,0,12,-1
89403633448,7,-9,-12,-1,2,0,-25,2
89403641514,-2,17,14,22,10,15,41,2
89403641514,12,30,8,-8,-7,-5,-16,12
89403656544,-19,8,-5,-13,-10,-18,-6,-6
89403656544,21,17,1,18,4,12,0,31
89403657280,4,-5,3,4,3,7,10,14
89403657280,-5,-18,-8,1,6,2,14,2
89403670949,-20,-46,-14,-13,-16,-33,-32,3
89403670949,24,-6,1,-9,-6,10,-24,20
89403678496,-12,4,-10,7,4,-2,13,-2
89403678496,2,-19,-11,0,1,2,4,5
89403693341,1,8,3,8,9,18,-3,-14
89403693341,-3,-10,-3,-10,-4,-22,15,4
89403701478,-7,6,16,2,6,24,-5,-7
89403701478,-3,-8,0,-17,-19,-37,-40,-5
89403716608,-14,-11,-24,-6,-4,16,24,0
89403716608,-19,2,-4,2,4,-17,10,36
89403717281,11,16,24,-8,-6,7,-29,-51
89403717281,2,1,-2,2,1,0,-7,4
89403730763,6,-1,7,0,2,-1,14,-4
89403730763,-12,-15,-20,-13,-2,-8,-1,-12
89403738286,6,-9,-5,7,4,3,5,23
89403738286,-12,-28,-12,-13,-8,-9,16,-15
89403753210,28,15,9,16,6,16,17,23
89403753210,27,1,-10,22,13,14,34,-5
89403761538,40,1,-8,12,-5,0,-22,54
89403761538,-42,1,19,-28,-17,-10,-70,-83
89403776502,17,-1,7,3,14,17,-28,71
89403776502,23,6,9,1,-10,-3,-1,-23
89403777258,-5,11,2,-3,6,2,-27,3
89403777258,6,4,-10,19,14,11,47,22
89403792213,-10,3,-2,-4,-3,-6,-11,-15
89403792213,-38,-9,12,-6,2,-5,-26,-36
89403798394,8,19,0,-1,-6,-4,13,-4
89403798394,-20,9,3,3,5,4,-9,19
89403813424,54,21,22,-5,-3,2,-37,-11
89403813424,-1,-5,3,16,13,16,32,28
89403821568,4,7,-8,8,-3,-26,78,8
89403821568,8,1,1,15,23,36,11,-7
89403836601,18,18,9,-6,-16,-12,4,-12
89403836601,-16,-7,5,-15,-2,-1,-23,-24
89403837251,6,-7,3,3,5,3,21,19
89403837251,30,10,-15,7,-4,-6,20,34
89403850951,-19,-17,-5,4,11,13,4,-16
89403850951,4,5,-1,-8,-12,6,21,-5
89403858420,0,-7,-10,-2,-8,-12,-38,-19
89403858420,1,-1,-5,-1,4,-7,20,0
89403873998,-17,-2,1,-10,-11,-17,17,-24
89403873998,-9,5,-2,-1,-2,10,17,-5
89403881697,-13,-33,19,-14,-1,-25,-38,-11
89403881697,-5,-15,-14,4,-6,3,8,6
89403896603,5,4,-1,-4,0,-35,-64,-27
89403896603,2,7,10,-5,6,9,47,1
89403897245,-10,0,10,-21,-21,-9,-56,-10
89403897245,-4,-12,2,-17,-9,-2,-14,1
89403910865,-19,-6,-3,-7,-3,-37,-4,3
89403910865,-2,-9,-7,3,1,11,-4,26
89403918462,-1,2,-13,9,10,12,10,21
89403918462,-7,2,2,-11,-9,0,0,-21
89403933490,-24,-11,6,-13,1,-5,-12,-28
89403933490,-21,13,-7,3,-8,-15,-37,-46
89403941628,-5,13,0,15,7,45,49,24
89403941628,-11,-19,-9,-10,-10,-43,-58,-21
89403956621,13,-1,1,7,5,41,39,15
89403956621,-4,-3,-9,10,1,0,-15,4
89403957293,11,-7,2,-10,1,-25,-58,-18
89403957293,-8,9,25,-5,3,28,28,8
89403970981,-10,7,-2,-1,-3,-3,-1,-10
89403970981,0,-8,0,-14,-16,-33,-19,16
89403978485,-12,-8,-7,-11,-2,-4,-13,-13
89403978485,9,6,2,6,9,-3,34,12
89403993333,-1,-6,0,-10,-4,-8,-15,0
89403993333,0,-5,-1,-2,4,2,-20,-9
89404001625,-1,8,-2,16,3,25,36,12
89404001625,33,19,3,11,-7,-12,-44,16
89404016059,-3,-4,-15,12,3,18,30,20
89404016059,1,1,2,2,1,4,10,0
89404024137,-10,2,3,3,0,0,4,-1
89404024137,-9,0,-2,4,1,-16,-1,-15
89404030977,4,6,-2,6,-1,38,0,-1
89404030977,2,-5,-2,-4,-2,-7,-7,-1
89404038510,-4,7,3,3,2,-9,-1,-9
89404038510,5,6,-1,5,2,7,8,-1
89404053268,3,5,1,11,6,-1,18,9
89404053268,-3,2,3,4,2,-8,8,-5
89404061696,5,1,4,1,5,20,9,-7
89404061696,4,-2,-4,7,-2,24,20,8
89404075804,-3,-6,-9,6,4,-2,5,4
89404075804,4,6,8,0,0,9,10,6
89404084150,-8,-6,-10,-3,-4,-18,-2,-12
89404084150,5,3,-1,6,3,-7,0,16
89404090942,3,-3,0,8,-1,13,7,9
89404090942,-4,-15,-10,-8,-5,-5,-8,-5
89404098463,-2,-8,-5,5,6,1,15,6
89404098463,-8,-10,-3,0,-3,6,-4,1
89404113453,-6,-4,0,-1,-2,-15,2,-1
89404113453,10,0,1,-1,1,6,-1,-2
89404121697,1,4,2,-4,-5,-4,-6,-4
89404121697,2,28,-2,3,-2,-2,7,1
89404137362,-2,50,1,0,-4,-6,0,-5
89404137362,1,7,1,2,2,1,-7,1
89404144274,-5,-5,1,-9,-8,-14,-6,-11
89404144274,2,-16,9,13,9,7,3,0
89404159002,0,-15,-5,1,-1,-4,3,-1
89404159002,0,4,1,7,1,7,-2,-1
89404159757,-3,-14,-12,-7,-1,0,0,-4
89404159757,3,-5,4,-9,-7,-4,-1,-4
89404173450,1,-13,-3,-3,0,0,-2,1
89404173450,-6,-8,-6,10,2,1,-3,0
89404181725,0,-10,4,-8,-3,-6,1,-7
89404181725,0,5,-6,-2,-1,2,-1,2
