timestamp,x,y,z
35236139290,-0.000976562,-0.346191,0.957031
35236162107,-0.00341797,-0.349121,0.956543
35236177800,-0.0117188,-0.352051,0.954102
35236199379,-0.000976562,-0.346191,0.956543
35236222163,-0.00292969,-0.343262,0.956543
35236238599,-0.00830078,-0.338867,0.950684
35236291954,-0.00878906,-0.351562,0.953125
35236292592,-0.00439453,-0.333008,0.946777
35236302005,-0.00585938,-0.338379,0.958984
35236319341,0.00146484,-0.336914,0.952637
35236335578,-0.00488281,-0.349121,0.956055
35236366380,-0.00439453,-0.34082,0.958984
35236401683,-0.00146484,-0.342285,0.956055
35236411607,0.00439453,-0.342285,0.952148
35236417962,-0.00488281,-0.347656,0.956543
35236439655,0.00439453,-0.349609,0.955566
35236455425,0.000976562,-0.337402,0.951172
35236486110,-0.00488281,-0.341797,0.963379
35236500432,-0.000976562,-0.348633,0.953125
35236523608,-0.00195312,-0.337402,0.95459
35236546196,0.00341797,-0.330566,0.952637
35236560478,-0.00244141,-0.356445,0.952637
35236583667,-0.00830078,-0.354004,0.956543
35236606105,-0.00390625,-0.339844,0.958496
35236620377,-0.000488281,-0.342285,0.958984
35236643636,-0.00244141,-0.337402,0.957031
35236666093,-0.00878906,-0.351074,0.95166
35236680428,-0.00244141,-0.349121,0.955566
35236711130,-0.00634766,-0.333984,0.958008
35236726121,-0.000488281,-0.338379,0.960449
35236740442,0,-0.34668,0.947754
35236763610,0.00146484,-0.346191,0.958008
35236786161,-0.00488281,-0.347656,0.956543
35236807333,-0.00341797,-0.337402,0.953125
35236823630,-0.00585938,-0.334961,0.958984
35236846155,-0.00439453,-0.345215,0.956055
35236867257,0.00341797,-0.338379,0.96582
35236883621,-0.00439453,-0.342285,0.94873
35236906109,-0.000976562,-0.336426,0.953613
35236927292,0.000976562,-0.341309,0.961914
35236943704,-0.00537109,-0.334473,0.960938
35236966134,0.00195312,-0.34082,0.962402
35236987299,0,-0.341309,0.958984
35237003584,-0.00732422,-0.361328,0.947266
35237026103,-0.0078125,-0.373535,0.947754
35237047306,-0.00146484,-0.339355,0.953613
