timestamp,x,y,z
35236139290,-0.1875,-0.25,-0.625
35236162107,0.25,-0.1875,-0.3125
35236177800,1.0625,0.1875,-0.3125
35236199379,0.8125,-0.125,-0.5
35236222163,1.8125,0.125,-0.125
35236238599,-0.1875,0.125,-0.0625
35236291954,0.3125,-0.3125,-0.3125
35236292592,0.8125,-0.0625,-0.375
35236302005,-0.4375,-0.0625,-0.875
35236319341,-1.75,-0.125,-0.8125
35236335578,-1.125,-0.25,-0.75
35236366380,0.4375,-0.375,-1.0625
35236401683,-0.6875,-0.375,-0.9375
35236411607,-1.5,-0.25,-0.5625
35236417962,-0.375,-0.3125,-0.4375
35236439655,0.8125,0.0625,-0.4375
35236455425,0.75,0.5,0
35236486110,-0.8125,0.0625,-0.125
35236500432,0,0.0625,-0.375
35236523608,0.375,0.3125,-0.3125
35236546196,-1.0625,0.375,-0.4375
35236560478,-1.4375,0.125,-0.3125
35236583667,0.375,-0.0625,-0.0625
35236606105,1.1875,-0.0625,-0.3125
35236620377,0.0625,0,-0.25
35236643636,-0.375,0.0625,-0.0625
35236666093,-1.0625,-0.375,-0.1875
35236680428,0.625,-0.1875,0.1875
35236711130,1.25,-0.1875,-0.3125
35236726121,-0.3125,-0.5,-0.4375
35236740442,-0.8125,-0.4375,-0.0625
35236763610,0.25,-0.125,-0.1875
35236786161,0.75,-0.125,-0.0625
35236807333,0.6875,0,0.1875
35236823630,-0.4375,-0.0625,-0.125
35236846155,-0.875,-0.375,-0.1875
35236867257,0,-0.1875,-0.4375
35236883621,0.25,0.375,-0.3125
35236906109,-0.375,0.8125,-0.25
35236927292,-1.125,-0.0625,-0.0625
35236943704,0.4375,-0.5,-0.4375
35236966134,-1.5625,-1.1875,-1.0625
35236987299,-3.125,-1.125,-0.4375
35237003584,-3.4375,-1.5,0.75
35237026103,2.625,-1.3125,0.5625
35237047306,3.375,-1.5625,0.1875
35237063683,1.75,-1.125,0.3125
35237086122,-0.4375,-0.75,0.25
35237107222,-1.4375,0.0625,0.5
35237131107,0.5,0.5625,0.5
35237146561,1.125,0.75,0.3125
35237169344,0.8125,0.6875,-0.3125
35237183581,-3.5,0.6875,0.125
35237206214,-1.4375,-0.1875,0.9375
35237228654,1.6875,-0.125,0.1875
35237249607,1.625,0.25,-0.625
35237273614,-1.5,0.25,-0.375
35237288984,-1.125,-0.25,-0.125
35237303645,2.1875,0.0625,0.6875
35237326053,2.75,0.1875,-0.125
35237348618,0,0.375,-0.0625
35237363460,-1,0.75,0
35237392371,-1.25,0.3125,-0.3125
35237408626,1.5,0.125,0
35237431094,0.8125,0.0625,-0.8125
35237452149,-0.5,-0.0625,-0.8125
35237468658,-1.5,0,-1
35237491093,-0.0625,-0.3125,-0.5
35237512144,3,-0.3125,-0.5625
35237528632,0.5625,0.0625,-0.9375
35237551072,-0.875,-0.5,-0.8125
35237572390,-0.4375,-0.6875,-0.0625
35237588695,2.9375,-1.125,-0.4375
35237611126,-0.25,-1,-1
35237632189,-2.125,-0.375,-0.9375
35237648681,-1,-0.625,-0.5
35237671148,1.375,-0.25,-0.375
35237693626,3.3125,0.625,-1.125
35237708608,0.4375,1.4375,-0.8125
35237731115,-1.0625,1.125,-0.4375
35237753595,0.625,0.5,-1.0625
35237768665,1.0625,1.1875,-0.8125
35237791167,-2.25,0.625,-1.125
35237813602,-1.0625,-0.6875,-0.5
35237828793,1.875,-0.25,-0.4375
35237851118,1.5625,0.0625,-0.6875
35237873673,-2.8125,0.4375,-0.6875
35237888033,-3.1875,-0.75,0.1875
35237911174,1.6875,-0.375,0.125
35237916642,2.5,0.1875,0.5
35237939205,0.4375,-0.4375,0.5625
35237955535,1.875,0.125,0.75
35237976695,1.9375,-0.125,-0.125
35237999164,-0.0625,-0.375,0.25
35238015523,-1.1875,-0.5,0.0625
35238036695,0.375,-0.25,-0.1875
35238059034,0.125,0.4375,-0.625
35238075519,-2.3125,0.375,-0.375
35238096693,-2.625,0.25,0.1875
35238119180,0.75,0.1875,0.125
35238135523,0.375,0.375,-0.9375
35238156705,-2.5625,0.125,-0.125
35238179151,-1.75,-0.1875,-0.375
35238195539,0.9375,-0.5,0.1875
35238216685,2.625,0.25,0
35238241978,-1.875,0.5,0
35238255552,-1.6875,0.125,-0.3125
35238276540,-1.5625,0,0.0625
35238299196,2.375,-0.25,-0.125
35238315532,1.9375,0.375,-0.375
35238336656,-1.125,-0.375,-0.4375
35238359206,-0.25,-0.3125,-0.5
35238375540,1.5625,-0.6875,-0.5625
35238396606,1.375,-0.625,-0.4375
35238419201,-0.3125,-0.375,-0.3125
35238435563,1,0,-0.3125
35238456559,0.25,0.3125,0
35238479255,1.3125,1,-0.0625
35238495535,-0.0625,1.1875,-0.25
35238516606,-3.375,0.625,-0.375
35238539275,-1.6875,0.5,-0.8125
35238555506,0,0.375,-1.125
35238576557,-0.75,0,-1.125
35238599076,-2.8125,-0.125,-0.4375
35238615482,-2.0625,-0.0625,0.125
35238636753,0.375,0,-0.25
35238659225,1.375,0.0625,-0.25
35238677033,-0.875,-0.1875,0
35238696601,-1.75,-0.1875,0.0625
35238719232,0.0625,-0.3125,0
35238736974,0.1875,0.0625,0
35238756628,0.5,0,-0.1875
35238779264,-0.8125,0.25,-0.3125
35238797002,-1.125,-0.1875,-0.4375
35238816537,-0.1875,0.3125,-0.375
35238839135,1.0625,0.25,-0.4375
35238856976,0.0625,0.0625,-0.875
35238876747,-0.6875,-0.0625,-0.5
35238899244,-0.1875,0.375,-0.75
35238917013,0.625,0.25,-0.75
35238936720,0.1875,-0.1875,-0.4375
