timestamp,x,y,z
336682070842,0.103516,-0.310547,0.950195
336682094418,0.0791016,-0.308105,0.947754
336682123337,0.0961914,-0.306152,0.929199
336682131948,0.0849609,-0.303223,0.946289
336682153266,0.0913086,-0.304688,0.950684
336682183892,0.0712891,-0.314941,0.95459
336682231004,0.0756836,-0.322754,0.952637
336682231781,0.078125,-0.319336,0.956543
336682238306,0.0810547,-0.320312,0.97168
336682252691,0.0771484,-0.312988,0.950684
336682274015,0.0791016,-0.308594,0.95166
336682288301,0.0854492,-0.307129,0.947266
336682341365,0.0883789,-0.30127,0.951172
336682342114,0.0888672,-0.312012,0.952148
336682355627,0.0810547,-0.31543,0.950195
336682372089,0.0800781,-0.309082,0.946289
336682394549,0.0776367,-0.311523,0.955566
336682409579,0.0766602,-0.305664,0.951172
336682432092,0.0864258,-0.319336,0.955566
336682461303,0.0795898,-0.315918,0.953125
336682475648,0.0732422,-0.318359,0.944336
336682492153,0.0805664,-0.311523,0.943848
336682514572,0.0854492,-0.314941,0.946289
336682535665,0.0849609,-0.314453,0.954102
336682552106,0.081543,-0.314941,0.953613
336682574618,0.0844727,-0.312988,0.949219
336682588173,0.0810547,-0.310547,0.958008
336682611281,0.0791016,-0.3125,0.958496
336682633833,0.0834961,-0.316895,0.953613
336682648142,0.0766602,-0.312988,0.952637
336682679498,0.0844727,-0.311035,0.947266
336682693858,0.0869141,-0.310059,0.952148
336682708200,0.0844727,-0.311035,0.953613
336682731332,0.0834961,-0.310059,0.947266
336682753782,0.0834961,-0.318359,0.942871
336682768132,0.0844727,-0.3125,0.949707
336682791313,0.0854492,-0.310059,0.950684
336682813767,0.078125,-0.315918,0.94873
336682828209,0.0805664,-0.314941,0.94873
336682851332,0.0810547,-0.318359,0.957031
336682873825,0.0854492,-0.306641,0.950195
336682888180,0.0786133,-0.316406,0.945312
336682911363,0.0791016,-0.310547,0.949219
336682933849,0.0810547,-0.311523,0.952637
336682948190,0.0820312,-0.3125,0.949219
336682971377,0.0820312,-0.313477,0.949707
336682993855,0.0810547,-0.312988,0.951172
336683008131,0.0854492,-0.308105,0.949707
336683031305,0.081543,-0.317871,0.95752
336683053798,0.0849609,-0.319336,0.949707
336683068151,0.0849609,-0.312012,0.947754
336683091400,0.0820312,-0.315918,0.944336
336683113828,0.0844727,-0.317383,0.944824
336683128104,0.0810547,-0.32666,0.943359
336683151049,0.0874023,-0.31543,0.947266
336683173824,0.0805664,-0.322266,0.945801
336683188161,0.0717773,-0.30957,0.952637
336683211366,0.0810547,-0.314941,0.953125
336683233627,0.0717773,-0.318848,0.957031
336683248138,0.0639648,-0.308105,0.96875
336683271257,0.0693359,-0.317871,0.960449
336683293825,0.0800781,-0.309082,0.959473
336683308069,0.0854492,-0.31543,0.953125
336683330601,0.0844727,-0.313965,0.944824
336683353572,0.0844727,-0.319336,0.949707
336683368160,0.0830078,-0.319336,0.945312
336683390646,0.0800781,-0.320801,0.950684
336683413157,0.078125,-0.32373,0.945312
336683428133,0.0839844,-0.317871,0.947266
336683450641,0.0795898,-0.321777,0.95166
336683473183,0.0849609,-0.317871,0.949707
336683488238,0.0825195,-0.321777,0.950195
336683510716,0.0844727,-0.320312,0.947266
336683533210,0.0878906,-0.315918,0.952637
336683548188,0.0766602,-0.325684,0.943848
336683570684,0.078125,-0.318359,0.954102
336683593208,0.0771484,-0.317383,0.95752
336683608234,0.0795898,-0.312012,0.947754
336683630637,0.081543,-0.316406,0.946777
336683653174,0.0771484,-0.314941,0.955566
336683668199,0.0756836,-0.320801,0.954102
336683690686,0.0795898,-0.325684,0.95166
336683713220,0.0878906,-0.316406,0.953125
336683729627,0.0825195,-0.319824,0.951172
336683752173,0.0849609,-0.316895,0.949707
336683773231,0.0795898,-0.320312,0.949707
336683788210,0.0825195,-0.321289,0.954102
336683810661,0.0742188,-0.31543,0.944824
336683833203,0.0800781,-0.321289,0.945801
336683848214,0.0820312,-0.314941,0.950195
336683870686,0.0830078,-0.323242,0.946289
336683893287,0.0825195,-0.312012,0.954102
336683908172,0.0786133,-0.321777,0.950684
336683938839,0.0830078,-0.316406,0.947266
336683953188,0.0791016,-0.319824,0.950195
336683968191,0.0737305,-0.316406,0.950195
336683990751,0.0766602,-0.310059,0.950684
336684013152,0.0751953,-0.317871,0.951172
336684028166,0.0786133,-0.314941,0.950684
336684050675,0.0805664,-0.314453,0.949707
336684073200,0.0839844,-0.32373,0.947266
336684091032,0.0776367,-0.314941,0.945801
336684110665,0.0737305,-0.320801,0.952148
336684133241,0.0761719,-0.310059,0.958008
336684165899,0.081543,-0.3125,0.963379
336684170723,0.0849609,-0.308105,0.955078
336684193274,0.0874023,-0.316406,0.941406
336684211164,0.0791016,-0.319824,0.952148
336684230711,0.0756836,-0.325684,0.942383
336684253170,0.0805664,-0.325684,0.945312
336684276378,0.0805664,-0.319336,0.950684
336684290714,0.0800781,-0.316895,0.952637
336684313220,0.0839844,-0.311523,0.953613
336684329644,0.0825195,-0.310547,0.958984
336684350759,0.0805664,-0.313477,0.950684
336684373242,0.0766602,-0.319336,0.958008
336684389658,0.0776367,-0.316406,0.95166
336684410744,0.0844727,-0.312988,0.952637
336684433180,0.0825195,-0.317871,0.955566
336684455736,0.0825195,-0.315918,0.948242
