timestamp,x,y,z,w
35236139290,-0.0249023,0.172974,-0.97406,0.144043
35236162107,-0.0249023,0.172974,-0.97406,0.144043
35236177800,-0.0247192,0.172791,-0.97406,0.144043
35236199379,-0.0247192,0.172791,-0.97406,0.144043
35236222163,-0.0246582,0.172424,-0.974121,0.144043
35236238599,-0.0245972,0.172424,-0.974121,0.144043
35236291954,-0.0245972,0.172424,-0.974121,0.144043
35236292592,-0.0245972,0.172363,-0.974182,0.144043
35236302005,-0.0245972,0.172363,-0.974182,0.144043
35236319341,-0.0246582,0.172485,-0.974182,0.143921
35236335578,-0.0247192,0.172668,-0.974121,0.143799
35236366380,-0.0247803,0.172485,-0.974182,0.143616
35236401683,-0.0247803,0.172424,-0.974182,0.143616
35236411607,-0.0249023,0.172607,-0.974182,0.143555
35236417962,-0.0249023,0.172607,-0.974182,0.143555
35236439655,-0.0249023,0.172607,-0.974182,0.143555
35236455425,-0.0249023,0.172546,-0.974182,0.143555
35236486110,-0.0249023,0.172546,-0.974182,0.143555
35236500432,-0.0249023,0.172546,-0.974182,0.143555
35236523608,-0.0249023,0.172485,-0.974182,0.143555
35236546196,-0.0249023,0.172485,-0.974243,0.143433
35236560478,-0.0249023,0.172791,-0.974182,0.143372
35236583667,-0.0249023,0.172791,-0.974182,0.143372
35236606105,-0.0248413,0.172485,-0.974243,0.143372
35236620377,-0.0248413,0.172485,-0.974243,0.143372
35236643636,-0.0248413,0.172424,-0.974243,0.143372
35236666093,-0.0248413,0.172607,-0.974182,0.143311
35236680428,-0.0248413,0.172607,-0.974182,0.143311
35236711130,-0.0247803,0.172241,-0.974304,0.143311
35236726121,-0.0247803,0.17218,-0.974304,0.143311
35236740442,-0.0247803,0.17218,-0.974304,0.143311
35236763610,-0.0247803,0.17218,-0.974304,0.143311
35236786161,-0.0247803,0.17218,-0.974304,0.143311
35236807333,-0.0247192,0.17218,-0.974304,0.143311
35236823630,-0.0247192,0.172119,-0.974304,0.143311
35236846155,-0.0247192,0.172119,-0.974304,0.143311
35236867257,-0.0247192,0.172058,-0.974304,0.143311
35236883621,-0.0247192,0.172058,-0.974304,0.143311
35236906109,-0.0247192,0.171997,-0.974304,0.143311
35236927292,-0.0247803,0.172119,-0.974304,0.143311
35236943704,-0.0247192,0.172058,-0.974304,0.143311
35236966134,-0.0250244,0.17218,-0.974304,0.143188
35236987299,-0.0252686,0.172546,-0.974243,0.143127
35237003584,-0.0255127,0.173218,-0.97406,0.143311
35237026103,-0.0256348,0.173035,-0.974121,0.143433
35237047306,-0.0257568,0.172302,-0.974182,0.143555
35237063683,-0.0258789,0.171631,-0.974304,0.143616
35237086122,-0.0258789,0.171631,-0.974304,0.143616
35237107222,-0.0258789,0.171814,-0.974243,0.143738
35237131107,-0.0258789,0.171814,-0.974243,0.143738
35237146561,-0.0256348,0.171448,-0.974304,0.143799
35237169344,-0.0256348,0.171387,-0.974365,0.143799
35237183581,-0.0255737,0.171814,-0.974243,0.143799
35237206214,-0.0255127,0.172241,-0.974182,0.143982
35237228654,-0.0253906,0.171875,-0.974243,0.144043
35237249607,-0.0252686,0.171387,-0.974304,0.143921
35237273614,-0.0252686,0.171448,-0.974304,0.14386
35237288984,-0.0253296,0.171692,-0.974304,0.14386
35237303645,-0.0252075,0.171326,-0.974304,0.143982
35237326053,-0.0250854,0.170654,-0.974426,0.143982
35237348618,-0.0250854,0.170593,-0.974487,0.143982
35237363460,-0.0250854,0.170593,-0.974487,0.143982
35237392371,-0.0250244,0.170776,-0.974426,0.143921
